State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,ResponseNumeric
MO,Missouri,5816.655351,No,Basic,Bachelor,2/27/2011,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Personal L3,Hail,Branch,427.63121,Luxury Car,Small,0
MO,Missouri,802.5229358,No,Extended,College,1/26/2011,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,25.807685,Two-Door Car,Large,0
MO,Missouri,578.0182197,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Hail,Call Center,787.993313,Four-Door Car,Medsize,1
MO,Missouri,411.8539113,No,Basic,Doctor,1/27/2011,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Scratch/Dent,Branch,489.6,SUV,Medsize,0
OK,Oklahoma,252.307015,No,Basic,Master,1/16/2011,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Hail,Call Center,302.4,Four-Door Car,Large,0
IA,Iowa,655.4216396,No,Extended,College,1/27/2011,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Hail,Agent,475.623251,Four-Door Car,Small,0
KS,Kansas,770.3397294,No,Basic,High School or Below,2/28/2011,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Collision,Call Center,320.849072,Four-Door Car,Medsize,0
MO,Missouri,592.6729379,Yes,Extended,College,1/25/2011,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Collision,Agent,460.8,Four-Door Car,Medsize,1
MO,Missouri,268.3470677,No,Basic,Bachelor,1/1/2011,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Scratch/Dent,Web,282.151207,Four-Door Car,Medsize,0
IA,Iowa,269.5182419,No,Basic,Bachelor,2/1/2011,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Scratch/Dent,Branch,321.6,Four-Door Car,Medsize,0
MO,Missouri,604.702516,Yes,Extended,College,2/19/2011,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Collision,Branch,364.8,Four-Door Car,Medsize,1
IA,Iowa,1317.101282,No,Premium,College,1/27/2011,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Hail,Branch,679.827592,Two-Door Car,Small,0
KS,Kansas,1065.688195,Yes,Extended,Bachelor,2/27/2011,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Hail,Call Center,631.743039,Two-Door Car,Medsize,1
IA,Iowa,252.7653796,No,Basic,Bachelor,1/17/2011,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Collision,Agent,11.879037,Four-Door Car,Medsize,0
IA,Iowa,267.2095756,No,Basic,Bachelor,2/10/2011,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Collision,Branch,350.529033,Two-Door Car,Small,0
MO,Missouri,531.3294035,No,Extended,High School or Below,1/24/2011,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Collision,Agent,863.3947,Four-Door Car,Medsize,0
IA,Iowa,2094.619251,No,Basic,Bachelor,2/24/2011,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Collision,Branch,492.127532,Four-Door Car,Large,0
NE,Nebraska,837.5353929,No,Basic,Master,2/15/2011,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Collision,Branch,132.588288,SUV,Medsize,0
MO,Missouri,480.1661503,No,Basic,Bachelor,2/16/2011,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Collision,Agent,297.6,Four-Door Car,Medsize,0
NE,Nebraska,574.594334,No,Basic,Bachelor,1/22/2011,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Scratch/Dent,Web,269.905129,Four-Door Car,Medsize,0
IA,Iowa,606.6115969,No,Extended,College,2/25/2011,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Collision,Agent,380.036697,Two-Door Car,Small,0
MO,Missouri,800.2308333,Yes,Basic,College,1/11/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Collision,Agent,513.6,SUV,Medsize,1
MO,Missouri,239.3915369,Yes,Basic,College,1/31/2011,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Collision,Branch,425.266308,Four-Door Car,Medsize,1
IA,Iowa,476.28179,No,Basic,Bachelor,1/12/2011,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,49.011099,Two-Door Car,Medsize,0
MO,Missouri,433.038602,Yes,Premium,College,2/16/2011,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Hail,Branch,513.6,Four-Door Car,Medsize,1
MO,Missouri,940.2729769,No,Extended,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Collision,Web,936,SUV,Medsize,0
IA,Iowa,696.6694527,No,Extended,Bachelor,1/19/2011,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Collision,Call Center,142.062768,Four-Door Car,Small,0
MO,Missouri,769.4064293,No,Basic,Bachelor,1/4/2011,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Scratch/Dent,Branch,45.152521,Four-Door Car,Medsize,0
IA,Iowa,871.7561149,No,Basic,High School or Below,1/9/2011,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Collision,Agent,561.6,SUV,Medsize,0
MO,Missouri,592.8748528,No,Basic,Bachelor,1/27/2011,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Collision,Agent,30.567357,Two-Door Car,Medsize,0
IA,Iowa,245.2977288,No,Basic,College,2/14/2011,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Other,Agent,271.606799,Four-Door Car,Medsize,0
MO,Missouri,670.1571657,No,Extended,College,2/27/2011,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Other,Agent,408,Four-Door Car,Small,0
KS,Kansas,755.624034,No,Extended,High School or Below,2/12/2011,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Hail,Web,470.4,Four-Door Car,Small,0
NE,Nebraska,849.26988,No,Basic,College,2/26/2011,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Hail,Branch,784.8,SUV,Medsize,0
IA,Iowa,771.3494046,No,Basic,Bachelor,2/20/2011,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Collision,Agent,316.8,Four-Door Car,Medsize,0
KS,Kansas,2408.45352,No,Basic,High School or Below,2/2/2011,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Other,Branch,396.082036,Four-Door Car,Medsize,0
MO,Missouri,729.0069769,No,Basic,High School or Below,2/15/2011,Unemployed,M,0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Collision,Agent,489.6,SUV,Medsize,0
IA,Iowa,477.2943848,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Hail,Agent,638.4,SUV,Medsize,1
NE,Nebraska,680.6491395,No,Extended,High School or Below,1/21/2011,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Hail,Branch,465.633954,Two-Door Car,Medsize,0
MO,Missouri,246.9781334,No,Basic,Bachelor,1/15/2011,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,368.400146,Two-Door Car,Medsize,0
MO,Missouri,310.3923041,No,Extended,College,2/5/2011,Employed,F,74665,Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Hail,Call Center,236.902001,Four-Door Car,Medsize,0
KS,Kansas,298.1875575,No,Extended,College,2/24/2011,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Scratch/Dent,Web,582.679087,Two-Door Car,Medsize,0
MO,Missouri,890.2737595,No,Basic,Bachelor,1/5/2011,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Collision,Call Center,64.109663,Sports Car,Medsize,0
IA,Iowa,549.9447223,No,Basic,High School or Below,1/28/2011,Employed,F,88768,Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Scratch/Dent,Branch,326.4,Two-Door Car,Small,0
MO,Missouri,1502.359858,No,Basic,High School or Below,1/12/2011,Employed,M,28262,Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Scratch/Dent,Web,921.6,Luxury SUV,Medsize,0
OK,Oklahoma,250.9107875,No,Basic,Bachelor,2/16/2011,Employed,F,33555,Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Collision,Agent,101.89645,Four-Door Car,Medsize,0
IA,Iowa,3122.17481,No,Premium,College,1/3/2011,Employed,M,42780,Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Collision,Call Center,542.4,Four-Door Car,Medsize,0
IA,Iowa,313.3503432,No,Extended,Master,2/7/2011,Employed,F,58850,Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Hail,Branch,143.747794,Four-Door Car,Medsize,0
NE,Nebraska,383.7451863,No,Extended,College,1/13/2011,Employed,M,21880,Urban,Married,97,29,37,0,1,Special Auto,Special L2,Collision,Branch,424.077159,Four-Door Car,Medsize,0
IA,Iowa,1179.049617,Yes,Basic,College,1/3/2011,Retired,M,25251,Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Hail,Web,316.8,Four-Door Car,Medsize,1
KS,Kansas,783.8068321,No,Basic,Master,2/17/2011,Unemployed,F,0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Hail,Agent,2.704934,Four-Door Car,Medsize,0
NE,Nebraska,430.5808345,No,Basic,High School or Below,1/21/2011,Employed,M,24188,Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Collision,Agent,523.2,Sports Car,Medsize,0
OK,Oklahoma,597.3976904,No,Basic,Bachelor,1/26/2011,Employed,F,41611,Rural,Married,74,14,8,0,8,Special Auto,Special L2,Collision,Branch,113.801497,Four-Door Car,Medsize,0
IA,Iowa,567.0442396,No,Basic,Bachelor,1/31/2011,Employed,F,28406,Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Collision,Call Center,192.87572,Four-Door Car,Medsize,0
NE,Nebraska,473.1749346,No,Premium,College,1/2/2011,Employed,M,69833,Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Collision,Agent,828.662719,Four-Door Car,Small,0
NE,Nebraska,802.6379641,No,Basic,High School or Below,2/7/2011,Unemployed,F,0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Collision,Web,532.8,Four-Door Car,Small,0
NE,Nebraska,402.2963529,No,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Collision,Agent,975.107098,SUV,Medsize,0
